분야,대제목,한줄소개,사전모집여부,참여대상,소요시간,체험기간,체험시간,이미지파일
에너지신산업,태양전지 패널,"태양광을 이용해 전력을 생산하며, 건물 외장재와 태양광 모듈을 일체화한 친환경 에너지 시스템에 사용되는 태양전지 패널 체험",현장접수,누구나,5,2025-11-26 ~ 2025-11-29,10:00 ~ 17:00,Booth_energy.png
에너지신산업,에코루프 키친스테이션,식기세척기와 음식물처리기를 소형 히트펌프로 결합해 폐열을 활용함으로써 에너지 절감·편의성·친환경성을 동시에 구현한 미래형 주방 시스템 체험,현장접수,누구나,5,2025-11-26 ~ 2025-11-29,10:00 ~ 17:00,Booth_energy.png
에너지신산업,수소 스테이션,수소전기차 등에 연료를 공급하기 위해 수소를 저장·충전하는 인프라 시설 체험,현장접수,누구나,5,2025-11-26 ~ 2025-11-29,10:00 ~ 17:00,Booth_energy.png
에너지신산업,플러스에너지빌딩,건물 자체에서 소비하는 에너지보다 더 많은 에너지를 생산하여 순에너지 이익을 창출하는 차세대 친환경 건물을 직접 체험,현장접수,누구나,5,2025-11-26 ~ 2025-11-29,10:00 ~ 17:00,Booth_energy.png
에너지신산업,태양전지 자동차경주 체험물,충전된 태양전지를 장착한 미니카를 이용한 트랙경주,현장접수,누구나,20,2025-11-26 ~ 2025-11-29,10:00 ~ 17:00,Booth_energy.png
에너지신산업,압전에너지,발판 위를 누르면 전력이 생산되어 전력량을 보여주는 압전에너지 체험물,현장접수,누구나,20,2025-11-26 ~ 2025-11-29,10:00 ~ 17:00,Booth_energy.png
에너지신산업,수력 풍력에너지 체험,수력 및 풍력 에너지가 어떻게 생성되어 전기로 돌아오는지 과정을 알 수 있도록 설계된 체험물,현장접수,누구나,10,2025-11-26 ~ 2025-11-29,10:00 ~ 17:00,Booth_energy.png
에너지신산업,수소밸류체인 VR 체험,VR을 통해 수소 생산부터 활용까지 수소밸류체인의 전 과정을 생생하게 체험,현장접수,누구나,20,2025-11-26 ~ 2025-11-29,10:00 ~ 17:00,Booth_energy.png
인공지능,AICOSS 메타버스캠퍼스 체험,AICOSS 메타버스캠퍼스 체험,현장접수,중학생 이상,5,2025-11-26 ~ 2025-11-29,10:00 ~ 17:00,Booth_ai.png
미래자동차,미래자동차 VR 레이싱 체험,4D VR 레이싱 기기로 속도감 넘치는 질주를 즐기는 몰입형 VR 레이싱 체험 프로그램,현장접수,초등학생 이상,5,2025-11-29 ~ 2025-11-29,10:00 ~ 17:00,Booth_future.png
